[Sun 2018-08-12 10:11:27 AM] [client 47.15.51.20] Finished under Sheet- Books | Row Number : 14 | count of Excel Fields: 19 | Count of Insert: 19 | Status OK
[Sun 2018-08-12 10:11:33 AM] [client 47.15.51.20] Finished under Sheet- Books | Row Number : 15 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Sun 2018-08-12 10:11:37 AM] [client 47.15.51.20] Finished under Sheet- Books | Row Number : 16 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Sun 2018-08-12 10:11:40 AM] [client 47.15.51.20] Finished under Sheet- Books | Row Number : 17 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Sun 2018-08-12 10:11:45 AM] [client 47.15.51.20] Finished under Sheet- Books | Row Number : 18 | count of Excel Fields: 14 | Count of Insert: 14 | Status OK
[Sun 2018-08-12 10:11:48 AM] [client 47.15.51.20] Finished under Sheet- Books | Row Number : 19 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Sun 2018-08-12 10:11:52 AM] [client 47.15.51.20] Finished under Sheet- Books | Row Number : 20 | count of Excel Fields: 15 | Count of Insert: 15 | Status OK
[Sun 2018-08-12 10:11:57 AM] [client 47.15.51.20] Finished under Sheet- Books | Row Number : 21 | count of Excel Fields: 19 | Count of Insert: 19 | Status OK
[Sun 2018-08-12 10:12:00 AM] [client 47.15.51.20] Finished under Sheet- Books | Row Number : 22 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Sun 2018-08-12 10:12:06 AM] [client 47.15.51.20] Finished under Sheet- Books | Row Number : 23 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Sun 2018-08-12 10:13:20 AM] [client 47.15.51.20] Finished under Sheet- Books | Row Number : 0 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Sun 2018-08-12 10:13:28 AM] [client 47.15.51.20] Finished under Sheet- Books | Row Number : 1 | count of Excel Fields: 19 | Count of Insert: 19 | Status OK
[Sun 2018-08-12 10:13:35 AM] [client 47.15.51.20] Finished under Sheet- Books | Row Number : 2 | count of Excel Fields: 19 | Count of Insert: 19 | Status OK
[Sun 2018-08-12 10:13:39 AM] [client 47.15.51.20] Finished under Sheet- Books | Row Number : 3 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Sun 2018-08-12 10:13:44 AM] [client 47.15.51.20] Finished under Sheet- Books | Row Number : 4 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Sun 2018-08-12 10:13:48 AM] [client 47.15.51.20] Finished under Sheet- Books | Row Number : 5 | count of Excel Fields: 9 | Count of Insert: 9 | Status OK
[Sun 2018-08-12 10:13:52 AM] [client 47.15.51.20] Finished under Sheet- Books | Row Number : 6 | count of Excel Fields: 9 | Count of Insert: 9 | Status OK
[Sun 2018-08-12 10:13:59 AM] [client 47.15.51.20] Finished under Sheet- Books | Row Number : 7 | count of Excel Fields: 16 | Count of Insert: 16 | Status OK
[Sun 2018-08-12 10:14:09 AM] [client 47.15.51.20] Finished under Sheet- Books | Row Number : 8 | count of Excel Fields: 20 | Count of Insert: 20 | Status OK
[Sun 2018-08-12 10:14:15 AM] [client 47.15.51.20] Finished under Sheet- Books | Row Number : 9 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
[Sun 2018-08-12 10:14:23 AM] [client 47.15.51.20] Finished under Sheet- Books | Row Number : 10 | count of Excel Fields: 10 | Count of Insert: 10 | Status OK
[Sun 2018-08-12 10:14:29 AM] [client 47.15.51.20] Finished under Sheet- Books | Row Number : 11 | count of Excel Fields: 11 | Count of Insert: 11 | Status OK
