[Thu 2018-05-10 11:42:27 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 57 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-05-10 11:42:28 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 58 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-05-10 11:42:29 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 59 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-05-10 11:42:30 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 60 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-05-10 11:42:32 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 61 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-05-10 11:42:33 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 62 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-05-10 11:42:34 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 63 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-05-10 11:57:16 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 0 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-05-10 11:57:17 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 1 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-05-10 11:57:17 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 2 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-05-10 11:57:18 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 3 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-05-10 11:57:20 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 4 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-05-10 11:57:21 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 5 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-05-10 11:57:22 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 6 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-05-10 11:57:22 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 7 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-05-10 11:57:23 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 8 | count of Excel Fields: 12 | Count of Insert: 12 | Status OK
[Thu 2018-05-10 11:57:24 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 9 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-05-10 11:57:25 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 10 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-05-10 11:57:26 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 11 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-05-10 11:57:27 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 12 | count of Excel Fields: 14 | Count of Insert: 14 | Status OK
[Thu 2018-05-10 11:57:28 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 13 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-05-10 11:57:29 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 14 | count of Excel Fields: 14 | Count of Insert: 14 | Status OK
[Thu 2018-05-10 11:57:30 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 15 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-05-10 11:57:31 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 16 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-05-10 11:57:33 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 17 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-05-10 11:57:34 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 18 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-05-10 11:57:35 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 19 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-05-10 11:57:36 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 20 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
[Thu 2018-05-10 11:57:37 AM] [client 116.206.223.250] Finished under Sheet- Journal Article | Row Number : 21 | count of Excel Fields: 13 | Count of Insert: 13 | Status OK
